Country,Date,Confirmed,Deaths,Recovered,Active,New_cases,New_deaths,New_recovered,WHO_Region
Afghanistan,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Albania,1/22/2020,0,0,0,0,0,0,0,Europe
Algeria,1/22/2020,0,0,0,0,0,0,0,Africa
Andorra,1/22/2020,0,0,0,0,0,0,0,Europe
Angola,1/22/2020,0,0,0,0,0,0,0,Africa
Antigua and Barbuda,1/22/2020,0,0,0,0,0,0,0,Americas
Argentina,1/22/2020,0,0,0,0,0,0,0,Americas
Armenia,1/22/2020,0,0,0,0,0,0,0,Europe
Australia,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Austria,1/22/2020,0,0,0,0,0,0,0,Europe
Azerbaijan,1/22/2020,0,0,0,0,0,0,0,Europe
Bahamas,1/22/2020,0,0,0,0,0,0,0,Americas
Bahrain,1/22/2020,0,0,0,0,0,0,0,Eastern Mediterranean
Bangladesh,1/22/2020,0,0,0,0,0,0,0,South-East Asia
Barbados,1/22/2020,0,0,0,0,0,0,0,Americas
Belarus,1/22/2020,0,0,0,0,0,0,0,Europe
Belgium,1/22/2020,0,0,0,0,0,0,0,Europe
Belize,1/22/2020,0,0,0,0,0,0,0,Americas
Benin,1/22/2020,0,0,0,0,0,0,0,Africa
Bhutan,1/22/2020,0,0,0,0,0,0,0,South-East Asia
Bolivia,1/22/2020,0,0,0,0,0,0,0,Americas
Bosnia and Herzegovina,1/22/2020,0,0,0,0,0,0,0,Europe
Botswana,1/22/2020,0,0,0,0,0,0,0,Africa
Brazil,1/22/2020,0,0,0,0,0,0,0,Americas
Brunei,1/22/2020,0,0,0,0,0,0,0,Western Pacific
Bulgaria,1/22/2020,0,0,0,0,0,0,0,Europe
Burkina Faso,1/22/2020,0,0,0,0,0,0,0,Africa
Burma,1/22/2020,0,0,0,0,0,0,0,South-East Asia
Burundi,1/22/2020,0,0,0,0,0,0,0,Africa
Cabo Verde,1/22/2020,0,0,0,0,0,0,0,Africa
