City,Total_cases,Total_deaths,Total_tests,Active_cases,Date
New York ,188694,9385,461601,162220,04-12-2020
New Jersey ,61850,2350,126735,58818,04-12-2020
Michigan ,23993,1392,76014,22158,04-12-2020
Massachusetts ,22860,686,108776,21445,04-12-2020
Pennsylvania ,22833,507,124890,21676,04-12-2020
California ,22424,634,182986,20850,04-12-2020
Louisiana ,20595,840,104045,19705,04-12-2020
Florida ,19347,452,183222,18715,04-12-2020
Illinois ,19180,677,92779,18453,04-12-2020
Texas ,13484,271,124553,11596,04-12-2020
Georgia ,12452,433,54453,11988,04-12-2020
Connecticut ,11510,494,39831,10966,04-12-2020
Washington ,10448,494,92999,8880,04-12-2020
Maryland ,8225,235,47238,7534,04-12-2020
Indiana ,7928,343,42489,7571,04-12-2020
Colorado ,6893,274,34873,6579,04-12-2020
Ohio ,6250,247,60471,6003,04-12-2020
Virginia ,5274,141,39985,5131,04-12-2020
Tennessee ,5114,101,66828,3627,04-12-2020
North Carolina ,4520,87,62139,4347,04-12-2020
Missouri ,4024,114,45064,3726,04-12-2020
Arizona ,3539,115,42109,3384,04-12-2020
Alabama ,3450,93,20605,3337,04-12-2020
US Military ,3366,13,0,3054,04-12-2020
Wisconsin ,3213,137,37893,3011,04-12-2020
South Carolina ,3207,80,30093,3127,04-12-2020
Nevada ,2836,112,29579,2474,04-12-2020
Mississippi ,2781,96,21101,2685,04-12-2020
Rhode Island ,2665,63,20350,2592,04-12-2020
Utah ,2206,18,42546,2162,04-12-2020
Oklahoma ,1970,96,22511,1352,04-12-2020
District Of Columbia ,1875,50,10640,1332,04-12-2020
Kentucky ,1840,94,24567,1440,04-12-2020
Minnesota ,1621,70,37421,709,04-12-2020
Iowa ,1510,34,17132,1387,04-12-2020
Delaware ,1479,33,11103,1255,04-12-2020
Oregon ,1447,51,28638,1396,04-12-2020
Idaho ,1407,27,14308,1380,04-12-2020
Arkansas  ,1280,27,19722,886,04-12-2020
Kansas ,1268,55,12343,1213,04-12-2020
New Mexico ,1174,20,28692,983,04-12-2020
New Hampshire ,929,23,10925,670,04-12-2020
Puerto Rico ,897,44,7973,849,04-12-2020
Nebraska ,791,17,10710,774,04-12-2020
South Dakota ,730,6,8553,528,04-12-2020
Vermont ,727,27,9841,700,04-12-2020
Navajo Nation ,698,24,0,674,04-12-2020
Maine ,633,19,6625,348,04-12-2020
