Country,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious_Critical,TotalTests,WHO_Region
USA,North America,331198130,5032179,162804,2576668,2292707,18296,63139605,Americas
Brazil,South America,212710692,2917562,98644,2047660,771258,8318,13206188,Americas
India,Asia,1381344997,2025409,41638,1377384,606387,8944,22149351,South-EastAsia
Russia,Europe,145940924,871894,14606,676357,180931,2300,29716907,Europe
South Africa,Africa,59381566,538184,9604,387316,141264,539,3149807,Africa
Mexico,North America,129066160,462690,50517,308848,103325,3987,1056915,Americas
Peru,South America,33016319,455409,20424,310337,124648,1426,2493429,Americas
Chile,South America,19132514,366671,9889,340168,16614,1358,1760615,Americas
Colombia,South America,50936262,357710,11939,192355,153416,1493,1801835,Americas
Iran,Asia,84097623,320117,17976,277463,24678,4156,2612763,EasternMediterranean
Saudi Arabia,Asia,34865919,284226,3055,247089,34082,1915,3635705,EasternMediterranean
Pakistan,Asia,221295851,281863,6035,256058,19770,809,2058872,EasternMediterranean
Italy,Europe,60452568,249204,35187,201323,12694,42,7099713,Europe
Turkey,Asia,84428331,237265,5798,220546,10921,580,5081802,Europe
Argentina,South America,45236884,228195,4251,99852,124092,1150,794544,Americas
Germany,Europe,83811260,215210,9252,196200,9758,236,8586648,Europe
France,Europe,65288306,195633,30312,82460,82861,384,3992206,Europe
Iraq,Asia,40306025,140603,5161,101025,34417,517,1092741,EasternMediterranean
Philippines,Asia,109722719,119460,2150,66837,50473,239,1669996,WesternPacific
Canada,North America,37775022,118561,8966,103106,6489,2263,4319172,Americas
Qatar,Asia,2807805,112092,178,108831,3083,77,511000,EasternMediterranean
Kazakhstan,Asia,18798667,95942,1058,68871,26013,221,2163713,Europe
Egypt,Africa,102516525,95006,4951,48898,41157,41,135000,EasternMediterranean
Ecuador,South America,17668824,90537,5877,71318,13342,378,258582,Americas
Bolivia,South America,11688459,86423,3465,27373,55585,71,183583,Americas
Oman,Asia,5118446,80713,492,70910,9311,177,309212,EasternMediterranean
Israel,Asia,9197590,79559,576,53427,25556,358,1872453,Europe
Ukraine,Europe,43705858,76808,1819,42524,32465,158,1116641,Europe
Dominican Republic,North America,10858648,76536,1246,40539,34751,317,281926,Americas
